R,182.5,err,187.5,err,192.5,err,197.5,err,202.5,err,207.5,err,212.5,err,217.5,err
mm,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
362.24,87239.2,13365.18,88306.27,12024.31,87627.09,9892.02,128175.89,9236.07,89540.88,7432.56,102281.53,8960,97633.52,8306.4,81731.57,8436.14
392.87,61808.9,7281.18,116548.96,10361.04,106603.42,9838.68,100218.67,7595.05,104230.27,6667.03,111857.51,7746.06,101069.92,7545.93,89246.3,7600.81
423.79,96830.87,11909.96,117595.31,10237.57,105820.78,7017.67,118620.92,6822.01,123743.75,5676.89,121955.11,6024.76,111900.59,5849.22,107151.13,5527.78
453.28,87004.45,9190.45,115467.86,9486.95,99493.3,6542.53,120526.33,5440.97,116420.2,6579.72,117826.66,5673,110597.65,4309.96,106285.21,5756.43
481.85,63501.39,7397.56,102866.35,7714.57,110962.8,6548.77,115545.89,5634.15,119094.04,5920.59,116790.38,4949.67,112295.77,5543.53,104465.52,4565.04
507.67,57961.9,6208.37,87116.8,6498.03,91874.42,5531.73,111811.84,5036.52,105882.65,5580.31,115044.71,4952.19,104322.58,4151.61,107859.59,4095.37
532.11,51230.1,7012.83,62211.25,5195.36,75948.22,5573.11,83530.82,4580.11,80621.84,4204.49,81580.82,4270.92,76299.92,3809.67,78718.87,4160.76
590,10409.43,2594.73,11841.83,1664.64,23677.49,591.97,22402.72,1536.03,11407.38,1579.38,19585.37,1095.56,13468.91,356.61,8079.78,1654.01
