R,182.5,err,187.5,err,192.5,err,197.5,err,202.5,err,207.5,err,212.5,err,217.5,err
mm,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
362.24,93605.4,6301.34,109629.46,6926.49,113037.9,6893.54,110188.74,6913.07,87144.28,7761.91,120791.01,7758.72,70795.5,8400.95,99904.83,6988.16
392.87,119161.53,7462.4,111208.28,5479.42,116648.17,6023.75,120743.39,6571.75,94592.79,6308.99,110238.22,6730,76085.26,6489.05,103543.93,6987.33
423.79,108830.39,8135.88,120689.92,5420.58,116765.29,6994.01,118596.84,6220.98,99387.05,5161.61,101469.41,6467.16,74549.26,6387.14,106095.82,6313.17
453.28,116339.83,6991.68,127807.37,5442.18,122574.63,5119.39,131155.89,6046.67,101068.12,5501.52,118084.77,6020.96,76309.79,6203.71,118536.66,5938.14
481.85,105439.03,7390.49,119754.4,5531.61,125267.77,6738.69,120636.46,7498.6,96800.23,5340.46,115462.18,7291.88,73357.86,6900.05,106713.23,6665.18
507.67,89743.08,5778.16,104104.24,5408.33,104124.01,5915.19,107405.4,6018.05,80732.66,5583.47,99444.16,6270.6,58934.67,7035.52,95832.71,6495.86
532.11,60411.62,7818.48,81368.87,6955.22,77312.05,6822.13,89131.81,7816.24,58484.76,4701.7,82991.75,6673.56,32175.51,6994.01,70744.45,5954.83
587,28507.49,2851.09,36194.41,2126.87,34096.26,2369.74,43551.6,2865.31,20527.35,1863.93,33076.18,3455.39,-2337.22,4799.41,39894.41,1881.6
